ASIN,Brand Name,GV(Dec 2025 ),Net Ordered Units(Dec 2025 ),Net Receipts (Units)(Dec 2025 ),Total Inventory Units(Dec 2025 ),Net Receipts($)(Dec 2025 ),Product GMS($)(Dec 2025 ),Gross Shipped GMS($)(Dec 2025 ),Net Ordered GMS($)(Dec 2025 ),Deal GMS($)(Dec 2025 ),Net PPM(Dec 2025 )(%),Amzn GV(Dec 2025 ),SoROOS(%)(Dec 2025 )(%),Daily SoRoos%(Dec 2025 )(%),Fill Rate - Sourceable(Dec 2025 )(%),Vendor Confirmation Rate - Sourceable(Dec 2025 )(%),Conversion Rate(Dec 2025 )(%),ASP(Dec 2025 ),CM(Dec 2025 )(%),CP($)(Dec 2025 ),CPPU(Dec 2025 ),PPM(Dec 2025 )(%),CCOGS As A % Of PCOGS(Dec 2025 )(%),CCOGS As A % Of Revenue(Dec 2025 )(%),External Box Price Competitiveness (% Of GV)(Dec 2025 )(%),IDQ Score(Dec 2025 )
B08WGZ69SV,ROCA,122,53,80.00,26.00,334.98,255.92,257.22,248.12,0,79.14%,121,15.57%,15.57%,100.53%,100.00%,43.44%,4.57,47.57%,125.79,2.25,8.38%,77.23%,70.76%,53.72%,75.00
B0CHF7Q4M2,Costa dÓro,90,20,72.00,55.00,833.09,254.56,246.25,248.28,0,29.71%,89,11.11%,11.11%,31.82%,100.00%,22.22%,12.73,11.60%,29.59,1.48,9.09%,25.20%,22.91%,0.00%,81.70
B07P68FH59,American Garden,566,105,132.00,81.00,315.89,253.12,252.57,250.30,0,16.93%,555,0.00%,0.00%,91.30%,100.00%,18.55%,2.39,(43.07)%,-117.02,-1.10,(0.22)%,19.07%,19.11%,20.98%,93.70
B015NC6YO0,The Jelly Bean Factory,38,12,11.00,0.00,238.98,252.84,236.54,255.48,0,27.22%,38,39.47%,39.47%,0.00%,100.00%,31.58%,22.99,13.91%,33.39,3.04,5.48%,29.82%,28.19%,0.00%,85.70
B00ECGW40C,MARTINELLI'S,44,81,62.00,23.00,157.32,252.06,252.06,252.09,0,42.06%,44,0.00%,0.00%,100.00%,100.00%,184.09%,3.11,(0.45)%,-0.92,-0.01,18.46%,28.95%,23.60%,54.55%,86.00
B08H321LHY,M.C. Trader,148,17,97.00,83.00,1052.12,251.39,250.23,197.25,0,42.87%,30,48.65%,48.65%,28.95%,100.00%,11.49%,10.93,20.01%,51.15,2.22,0.76%,42.90%,42.57%,73.91%,0
B07NF9H25V,Palazi,667,32,40.00,75.00,219.54,242.32,245.38,235.97,0,41.76%,621,0.00%,0.00%,24.07%,100.00%,4.80%,7.13,8.88%,22.47,0.66,22.99%,24.77%,19.07%,26.03%,62.50
B01L1DQPMG,American Garden,734,55,151.00,18.00,561.98,241.11,239.06,219.63,0,18.14%,706,13.08%,13.08%,74.44%,25.50%,7.49%,4.02,(28.59)%,-72.05,-1.20,7.38%,12.95%,11.99%,44.84%,92.50
B081LFPWRP,Mr Makhana,166,223,691.00,677.00,743.10,236.09,229.54,224.76,0,71.32%,163,0.00%,0.00%,100.00%,100.00%,134.34%,1.03,(12.67)%,-29.71,-0.13,(4.31)%,76.34%,79.63%,40.63%,78.20
B07B8BYKFY,Canel's,258,69,157.00,366.00,478.73,234.79,231.56,228.01,0,27.00%,251,0.00%,0.00%,52.38%,100.00%,26.74%,3.35,(11.20)%,-27.12,-0.39,9.09%,23.94%,21.77%,0.00%,85.70
B08V929N3B,MARTINELLI'S,208,51,36.00,8.00,174.46,233.92,233.92,248.55,0,25.67%,201,25.00%,25.00%,33.33%,100.00%,24.52%,4.87,(6.86)%,-15.73,-0.33,0.56%,25.25%,25.11%,52.00%,81.00
B09BN5R4MX,Palazi,538,38,226.00,142.00,892.17,227.46,226.80,173.11,0,30.65%,527,13.01%,13.01%,44.00%,100.00%,7.06%,4.06,(10.08)%,-23.99,-0.43,2.81%,30.94%,30.07%,100.00%,82.50
B0861M1XS5,Suntop,37,7,6.00,12.00,74.49,226.88,226.88,226.88,0,64.98%,35,0.00%,0.00%,25.00%,100.00%,18.92%,32.41,53.02%,121.41,17.34,61.70%,8.57%,3.28%,100.00%,83.00
B087GL49FM,Erko,315,58,45.00,95.00,130.35,220.28,213.39,213.46,0,37.77%,313,4.76%,4.76%,5.05%,100.00%,18.41%,3.80,(4.21)%,-9.38,-0.16,23.73%,23.06%,17.59%,100.00%,72.50
B07DXVR84H,La Molisana,51,52,192.00,100.00,548.86,216.25,208.35,201.70,0,43.10%,51,0.00%,0.00%,52.98%,100.00%,101.96%,3.93,11.79%,24.91,0.45,27.29%,27.06%,19.68%,52.94%,78.50
B000WHS8M8,Gerber,148,41,32.00,8.00,184.61,216.17,218.59,218.48,0,20.09%,135,35.14%,35.14%,100.00%,100.00%,27.70%,5.27,(6.41)%,-14.43,-0.35,(9.42)%,27.32%,29.89%,84.13%,80.70
B00Q6I22DI,American Garden,501,82,269.00,192.00,806.33,214.24,209.66,210.41,0,5.08%,480,1.60%,1.60%,93.06%,100.00%,16.37%,2.61,(60.71)%,-138.21,-1.69,(14.73)%,18.74%,21.50%,22.20%,93.70
B083VL3R3L,Tetley,115,58,20.00,22.00,106.18,213.64,212.88,216.52,0,(26.29)%,113,0.00%,0.00%,100.00%,100.00%,50.43%,3.75,(77.43)%,-168.78,-2.96,(41.64)%,10.98%,15.55%,77.14%,98.50
B0881M44V2,Cici,136,22,122.00,118.00,870.23,210.69,207.78,190.13,0,33.95%,131,0.00%,0.00%,49.37%,100.00%,16.18%,8.43,6.16%,13.33,0.53,15.36%,23.98%,20.29%,60.31%,98.20
B0792L8SY6,Lotte,227,59,190.00,13.00,584.53,209.13,200.52,200.53,0,17.34%,215,63.00%,63.00%,91.49%,100.00%,25.99%,3.54,(12.20)%,-25.30,-0.43,13.21%,10.93%,9.49%,0.00%,75.00
B07P68FGXQ,American Garden,129,170,96.00,126.00,106.37,208.55,208.69,200.35,0,19.56%,121,0.00%,0.00%,100.00%,100.00%,131.78%,1.18,(40.01)%,-88.22,-0.50,5.95%,17.77%,16.71%,43.16%,96.20
B08M7G4T62,Little Freddie,51,53,150.00,81.00,381.02,205.70,196.90,151.11,0,30.28%,51,17.65%,17.65%,0.00%,100.00%,103.92%,2.98,(1.76)%,-3.38,-0.05,14.79%,23.34%,19.89%,100.00%,80.50
B091VQBBGW,American Garden,533,42,433.00,267.00,1920.36,202.37,204.78,204.79,0,24.51%,478,26.64%,26.64%,80.43%,100.00%,7.88%,4.82,(15.47)%,-33.83,-0.81,7.95%,18.50%,17.03%,69.67%,96.70
B002GK0570,Gerber,56,37,102.00,53.00,588.44,195.12,199.01,194.00,0,16.02%,32,51.79%,51.79%,100.00%,100.00%,66.07%,5.13,(6.82)%,-13.09,-0.34,(12.35)%,25.25%,28.37%,62.16%,91.20
B087GH4M7T,Freakin' Healthy,60,53,70.00,35.00,278.62,190.66,173.39,173.40,126.06,14.87%,47,70.00%,70.00%,100.00%,4.79%,88.33%,3.60,(12.73)%,-24.09,-0.45,(10.65)%,27.24%,30.14%,100.00%,94.20
B0881MS1FD,Americandy,183,62,183.00,448.00,511.18,190.57,189.70,189.54,0,26.93%,181,0.00%,0.00%,51.28%,100.00%,33.88%,3.07,(8.63)%,-17.25,-0.28,9.12%,22.97%,20.87%,0.00%,87.50
B07PBKVNXH,Tippys,162,115,0.00,0.00,0.00,188.75,192.14,197.89,0,59.56%,150,8.64%,8.64%,0.00%,83.77%,70.99%,1.69,(80.05)%,-187.23,-1.67,51.53%,20.99%,10.17%,100.00%,60.00
B07MXFKJVH,La Molisana,134,76,66.00,253.00,175.73,187.08,176.06,214.91,0,29.83%,133,0.00%,0.00%,20.08%,100.00%,56.72%,2.92,(13.70)%,-25.18,-0.39,8.91%,29.43%,26.80%,0.00%,92.00
B0B8GMD5W2,Kannan Devan,313,76,364.00,268.00,1655.96,186.30,182.77,182.82,0,(58.39)%,235,0.32%,0.32%,100.00%,100.00%,24.28%,2.45,(118.53)%,-227.17,-2.99,(85.59)%,16.03%,29.75%,86.15%,82.50
B01L1DRDKO,UNKNOWN,329,60,1584.00,860.00,4415.99,182.07,176.86,134.53,0,5.18%,284,51.55%,51.55%,83.58%,100.00%,18.24%,2.46,(80.25)%,-158.67,-2.14,(13.31)%,18.50%,20.96%,82.61%,97.00
B0CH8Y34JD,Barebells,208,5,23.00,20.00,778.72,181.81,181.24,181.24,0,29.70%,77,75.00%,75.00%,66.67%,100.00%,2.40%,36.36,17.59%,32.44,6.49,6.89%,24.50%,22.81%,0.00%,78.00
B0749NNYF5,Ching's Secret,216,83,66.00,114.00,125.42,181.72,179.09,180.77,0,23.65%,211,0.00%,0.00%,66.67%,100.00%,38.43%,2.19,(42.77)%,-79.09,-0.95,13.20%,16.00%,13.89%,39.23%,84.20
B00PS0JZI0,JULIE'S,68,42,140.00,6.00,381.15,181.08,177.74,104.81,0,24.61%,61,25.00%,25.00%,28.21%,99.69%,61.76%,2.59,(15.88)%,-29.55,-0.42,(5.24)%,32.22%,33.91%,77.59%,65.00
B084MM15HF,Suntop,51,36,36.00,0.00,189.06,180.69,181.01,191.65,0,11.06%,51,39.22%,39.22%,50.00%,100.00%,70.59%,5.31,(25.41)%,-48.24,-1.42,1.18%,10.00%,9.88%,66.67%,79.50
B00NRML2XM,Dilmah,85,24,24.00,0.00,190.79,180.47,185.24,185.43,0,19.65%,63,24.71%,24.71%,0.00%,0.00%,28.24%,7.52,(12.82)%,-23.28,-0.97,(5.72)%,24.00%,25.37%,47.62%,0
B0B82XMNC5,Mr Makhana,114,162,607.00,464.00,652.77,178.19,172.66,170.27,0,72.29%,111,5.26%,5.26%,96.82%,100.00%,142.11%,1.08,0.09%,0.17,0.00,0.42%,76.23%,75.92%,67.92%,68.20
B07NF854H7,UNKNOWN,69,19,7.00,0.00,50.31,177.53,177.53,177.53,0,30.77%,69,27.54%,27.54%,18.60%,100.00%,27.54%,9.34,(46.26)%,-45.70,-2.41,23.08%,10.00%,7.69%,0.00%,85.80
B0847NQFB6,Al Osra,225,98,225.00,181.00,290.97,176.42,174.85,171.21,0,36.76%,223,0.00%,0.00%,100.25%,100.00%,43.56%,1.76,(46.48)%,-82.52,-0.83,26.70%,15.81%,11.59%,0.00%,92.90
B00L2ZL0YW,American Garden,191,56,90.00,39.00,304.57,175.54,175.06,180.20,0,13.76%,181,5.24%,5.24%,77.16%,100.00%,29.32%,3.25,(37.99)%,-67.06,-1.24,(4.11)%,18.87%,19.65%,56.85%,97.00
B0CJLQR2WX,Ulker,235,37,33.00,187.00,134.77,174.80,172.10,156.50,0,25.93%,229,0.00%,0.00%,100.00%,100.00%,15.74%,4.16,(14.23)%,-24.84,-0.59,1.88%,26.57%,26.07%,33.48%,75.80
B087GL3GNC,Maikom,174,21,39.00,16.00,261.62,170.09,171.73,195.49,0,44.79%,152,21.26%,21.26%,20.33%,100.00%,12.07%,9.45,20.87%,33.25,1.85,29.01%,26.88%,19.09%,79.47%,90.00
B087GK9B18,Freakin' Healthy,54,11,14.00,31.00,220.92,162.76,163.42,163.42,128.90,21.25%,53,0.00%,0.00%,100.00%,31.48%,20.37%,14.80,4.08%,6.86,0.62,(6.65)%,26.46%,28.22%,0.00%,98.50
B086DV7D1W,Vitamin Well,785,86,1.00,17.00,23.85,162.04,162.08,2391.36,0,41.48%,760,93.76%,93.76%,53.33%,100.00%,10.96%,27.01,5.69%,7.71,1.28,11.60%,33.80%,29.88%,99.17%,83.50
B07K459Y34,UNKNOWN,856,50,67.00,51.00,273.48,161.83,162.89,199.90,0,22.46%,847,61.68%,61.68%,11.76%,100.00%,5.84%,4.05,(10.29)%,-17.46,-0.44,3.69%,19.51%,18.79%,72.58%,55.90
B087C89BGH,Little Freddie,49,49,162.00,32.00,411.50,160.98,155.93,142.37,0,34.31%,49,36.73%,36.73%,58.47%,95.93%,100.00%,2.98,2.43%,3.61,0.07,14.79%,28.10%,23.94%,100.00%,82.00
B07NHR4TZG,La Molisana,49,38,69.00,215.00,227.30,160.35,149.23,175.48,0,44.27%,49,0.00%,0.00%,0.00%,100.00%,77.55%,5.01,24.18%,36.63,1.14,34.26%,25.78%,16.95%,32.65%,97.00
B07NF7RVX6,L.B. Maple,77,17,28.00,26.00,252.02,159.69,157.10,159.09,0,26.62%,77,0.00%,0.00%,89.47%,100.00%,22.08%,9.39,2.84%,4.57,0.27,4.18%,25.11%,24.06%,0.00%,68.50
B083VKGY29,Tata,78,43,2.00,44.00,6.01,154.41,155.46,155.55,0,29.63%,69,0.00%,0.00%,67.31%,100.00%,55.13%,3.59,(7.40)%,-11.59,-0.27,16.30%,15.98%,13.37%,57.63%,100.00
B07NHMKXYK,La Molisana,82,48,90.00,133.00,267.08,153.42,147.39,150.37,0,26.11%,80,0.00%,0.00%,27.12%,43.07%,58.54%,3.26,(11.68)%,-17.83,-0.38,9.09%,23.94%,21.76%,0.00%,93.00
B00LXSEFMW,La Molisana,79,39,2.00,1.00,5.72,153.18,147.16,121.66,0,27.99%,79,3.80%,3.80%,30.49%,100.00%,49.37%,2.95,(21.52)%,-32.92,-0.63,2.96%,30.42%,29.52%,0.00%,91.00
B000Z4MHNE,French's,73,50,0.00,0.00,0.00,151.81,143.59,146.76,0,13.97%,69,26.03%,26.03%,0.00%,100.00%,68.49%,3.10,(32.58)%,-49.28,-1.01,14.08%,6.57%,5.64%,100.00%,98.50
B07NF7VR7Y,American Garden,90,42,116.00,95.00,423.51,149.18,145.44,156.35,0,18.99%,89,0.00%,0.00%,90.63%,100.00%,46.67%,3.83,(44.17)%,-55.92,-1.43,4.56%,18.50%,17.66%,60.67%,89.40
B08H8VT4JB,Mr Makhana,44,59,122.00,61.00,297.27,148.17,147.93,143.52,0,73.35%,44,22.73%,22.73%,51.92%,100.00%,134.09%,2.43,31.06%,48.81,0.80,(0.31)%,76.17%,76.41%,0.00%,83.20
B00AVHTBUC,Lago,546,49,144.00,162.00,372.44,148.06,142.08,132.21,0,26.04%,538,2.56%,2.56%,34.39%,100.00%,8.97%,2.64,(16.25)%,-24.33,-0.43,2.18%,28.35%,27.73%,37.30%,94.20
B016BO719G,Whittaker,102,21,144.00,738.00,848.78,147.53,145.40,159.37,0,41.16%,100,11.76%,11.76%,24.17%,100.00%,20.59%,7.76,22.07%,32.77,1.72,24.09%,24.39%,18.51%,59.41%,86.00
B0B82W6X9R,Mr Makhana,115,133,713.00,820.00,766.76,147.47,143.54,142.21,0,72.61%,114,0.00%,0.00%,100.00%,100.00%,115.65%,1.09,(6.17)%,-8.61,-0.06,1.55%,76.29%,75.10%,53.40%,78.20
B083VKML26,Tetley,67,38,74.00,56.00,392.86,144.61,148.88,143.53,0,(27.45)%,64,0.00%,0.00%,0.00%,0.00%,56.72%,3.71,(65.38)%,-96.05,-2.46,(43.18)%,10.99%,15.73%,68.33%,86.00
B087GM5T2G,Elvan,124,17,102.00,143.00,559.84,144.28,132.52,98.10,0,30.51%,122,25.81%,25.81%,42.38%,100.00%,13.71%,5.77,(17.68)%,-24.68,-0.99,4.90%,30.97%,29.46%,60.66%,85.70
B0B9MW55SK,The Jelly Bean Factory,189,43,253.00,92.00,502.82,144.07,140.66,94.37,0,29.04%,188,10.58%,10.58%,0.00%,100.00%,22.75%,2.18,(22.87)%,-33.82,-0.51,8.96%,25.15%,22.89%,62.43%,83.20
B00HXHBC14,JULIE'S,81,43,144.00,130.00,352.84,142.84,132.52,95.93,0,16.47%,77,7.41%,7.41%,11.11%,100.00%,53.09%,2.34,(26.39)%,-37.06,-0.61,(4.64)%,27.07%,28.33%,36.99%,81.70
B08H6KK3XK,Mr Makhana,31,61,42.00,1.00,102.34,141.33,138.48,145.45,0,72.51%,31,9.68%,9.68%,83.17%,100.00%,196.77%,2.44,23.00%,33.47,0.58,0.00%,76.00%,76.00%,0.00%,78.20
B07CXJZVRR,General Mills,67,17,144.00,104.00,1038.92,140.01,128.34,126.58,0,31.61%,24,44.00%,44.00%,100.00%,100.00%,25.37%,7.78,5.48%,7.32,0.41,7.25%,35.25%,32.70%,59.26%,94.50
B00L2ZLGQE,American Garden,403,36,216.00,157.00,730.97,138.00,135.70,135.88,0,25.63%,396,0.00%,0.00%,101.28%,100.00%,8.93%,3.83,(31.61)%,-41.51,-1.15,11.72%,17.99%,15.88%,15.30%,90.50
B004GP00PU,American Garden,351,34,244.00,91.00,817.09,135.35,129.48,122.21,0,25.82%,337,6.27%,6.27%,82.28%,100.00%,9.69%,3.76,(25.37)%,-34.85,-0.97,10.93%,18.50%,16.48%,43.42%,90.00
B07MTXFYB3,Crunchos,37,21,78.00,66.00,490.55,134.41,132.79,132.79,0,13.80%,36,13.51%,13.51%,100.00%,100.00%,56.76%,6.40,(14.48)%,-19.89,-0.95,1.74%,13.50%,13.27%,62.86%,73.40
B00SXY3MWI,PINA,9,7,0.00,5.00,0.00,133.98,131.39,131.39,0,8.01%,9,0.00%,0.00%,62.50%,100.00%,77.78%,19.14,(1.34)%,-1.77,-0.25,(16.96)%,23.00%,26.90%,0.00%,70.00
B001QBX8BU,Tetley,57,34,105.00,70.00,262.42,131.66,130.85,125.88,0,37.13%,56,29.82%,29.82%,0.00%,100.00%,59.65%,3.56,(7.72)%,-10.41,-0.28,29.76%,10.96%,7.70%,0.00%,97.00
B07PKCQ275,Afia,391,33,187.00,430.00,701.56,130.68,126.83,130.97,0,15.23%,352,8.70%,8.70%,66.38%,100.00%,8.44%,4.08,(41.22)%,-48.64,-1.52,8.13%,10.60%,9.74%,45.61%,75.00
B08H71NHC5,Mr Makhana,42,42,91.00,49.00,221.74,130.13,126.09,126.09,0,77.69%,42,26.19%,26.19%,100.00%,100.00%,100.00%,3.10,40.50%,53.84,1.28,21.35%,76.00%,59.77%,50.00%,78.20
B087GLRBJB,Caca,238,37,113.00,88.00,344.56,129.74,132.38,132.41,0,32.50%,231,0.00%,0.00%,51.08%,100.00%,15.55%,3.51,(9.66)%,-13.47,-0.36,13.04%,23.00%,20.00%,0.00%,80.00
B077P3MHY2,Guylian,235,29,51.00,832.00,184.81,128.88,130.89,106.86,0,24.54%,198,22.98%,22.98%,0.00%,0.00%,12.34%,3.58,(28.30)%,-37.85,-1.05,(1.22)%,27.16%,27.49%,57.94%,62.50
B083VK1XBB,American Garden,72,4,18.00,3.00,159.42,128.58,128.58,31.04,0,16.42%,65,72.22%,72.22%,66.67%,100.00%,5.56%,8.57,(6.78)%,-9.05,-0.60,(3.32)%,18.50%,19.11%,100.00%,97.00
B0C62CMRMF,TATA,248,31,216.00,64.00,1277.87,128.57,130.59,130.60,0,(20.70)%,200,8.87%,8.87%,56.45%,100.00%,12.50%,4.15,(66.55)%,-89.65,-2.89,(42.65)%,15.41%,21.99%,81.82%,100.00
B007TKG3T6,Lutti,9,5,1.00,0.00,29.40,128.01,128.01,158.21,0,29.26%,9,77.78%,77.78%,28.57%,100.00%,55.56%,32.00,15.48%,20.13,5.03,8.12%,23.00%,21.13%,0.00%,96.70
B00N8J1P90,La Molisana,137,24,104.00,83.00,537.97,127.66,125.28,125.30,0,22.62%,134,0.00%,0.00%,65.89%,81.65%,17.52%,5.32,(12.33)%,-14.70,-0.61,2.76%,23.00%,22.37%,0.00%,73.00
B00Q8Y3CIY,Elvan,227,20,72.00,160.00,264.63,127.47,123.85,90.97,0,31.76%,208,21.59%,21.59%,7.07%,100.00%,8.81%,3.86,(8.63)%,-11.26,-0.34,4.85%,30.71%,29.22%,100.00%,78.00
B08H72X9N9,Mr Makhana,45,46,67.00,57.00,163.26,126.19,122.06,124.55,0,75.36%,43,0.00%,0.00%,100.00%,100.00%,102.22%,2.80,37.04%,46.74,1.04,13.10%,76.00%,66.04%,78.26%,78.20
B001OY2T1O,Gerber,195,22,111.00,58.00,601.98,124.02,123.71,105.59,0,14.24%,103,7.18%,7.18%,99.11%,32.56%,11.28%,4.77,(62.14)%,-55.68,-2.14,(13.70)%,25.25%,28.71%,87.62%,98.30
B009B1L17K,Al Osra,294,100,424.00,15.00,581.79,122.84,121.54,124.76,0,(3.06)%,286,0.34%,0.34%,45.59%,100.00%,34.01%,1.24,(121.46)%,-153.41,-1.55,(10.58)%,10.88%,12.03%,46.79%,92.90
B0B82VB5VL,Mr Makhana,12,42,76.00,83.00,185.19,121.88,116.92,116.92,0,76.15%,12,0.00%,0.00%,84.06%,100.00%,350.00%,2.90,38.45%,47.23,1.12,16.03%,76.00%,63.82%,66.67%,78.20
B08RYXXH9T,Pigeon,120,20,2.00,58.00,13.94,121.81,121.81,126.22,12.16,40.75%,119,0.00%,0.00%,100.00%,100.00%,16.67%,6.41,37.01%,46.37,2.44,36.49%,6.70%,4.26%,42.86%,94.50
B008QTHSP2,JULIE'S,49,42,48.00,35.00,117.61,120.69,114.68,117.58,0,34.21%,44,53.06%,53.06%,0.00%,100.00%,85.71%,2.94,(2.81)%,-3.39,-0.08,16.76%,26.95%,22.43%,93.18%,80.40
B0DWXBKCLF,QMINC,192,11,12.00,1.00,123.49,119.79,121.09,121.09,0,26.76%,67,55.73%,55.73%,69.14%,100.00%,5.73%,10.89,7.84%,9.69,0.88,5.50%,22.50%,21.26%,0.00%,81.50
B08C192WMP,Al Arabi,28,16,7.00,3.00,56.30,118.88,119.11,136.12,0,15.39%,27,14.29%,14.29%,100.00%,100.00%,57.14%,8.49,(16.35)%,-20.05,-1.43,5.29%,11.04%,10.46%,37.04%,84.20
B07NF7GFXS,Coroli,42,8,8.00,0.00,113.80,117.72,115.47,115.47,0,11.08%,38,28.57%,28.57%,25.00%,100.00%,19.05%,14.72,(10.50)%,-12.51,-1.56,3.33%,10.00%,9.67%,100.00%,82.50
B0735DQN34,Ching's Secret,113,39,112.00,62.00,212.84,117.09,114.59,93.16,0,32.26%,110,37.17%,37.17%,0.00%,100.00%,34.51%,2.44,(43.23)%,-54.43,-1.13,22.10%,15.92%,12.40%,0.00%,96.70
B0CV7L34ZX,Zeeba,17,3,13.00,9.00,411.90,116.91,116.91,116.91,0,37.40%,15,11.76%,11.76%,0.00%,0.00%,17.65%,38.97,21.69%,25.59,8.53,18.69%,23.00%,18.70%,0.00%,76.90
B07NF6MPF7,American Garden,46,56,24.00,59.00,42.01,116.63,116.66,109.03,0,24.20%,41,0.00%,0.00%,100.00%,100.00%,121.74%,1.94,(26.61)%,-32.77,-0.55,9.94%,18.50%,16.66%,58.54%,96.70
B087GMQGW7,Felfoldi,10,2,3.00,1.00,116.63,116.52,116.52,116.52,0,48.62%,10,10.00%,10.00%,100.00%,100.00%,20.00%,58.26,38.92%,45.76,22.88,33.27%,23.00%,15.35%,100.00%,81.50
B0058MKHIU,TILDA,53,31,31.00,41.00,92.84,115.63,116.70,116.74,0,35.39%,51,0.00%,0.00%,73.68%,44.71%,58.49%,3.73,(6.41)%,-7.05,-0.23,19.71%,22.01%,17.67%,43.75%,83.70
B07P9J3YDB,La Molisana,74,46,172.00,191.00,458.91,114.46,106.07,125.34,0,24.47%,74,0.00%,0.00%,38.03%,42.01%,62.16%,2.93,(16.66)%,-18.23,-0.47,9.09%,24.98%,22.71%,100.00%,92.00
B01MQJPAOU,Rip van Wafels,27,4,0.00,0.00,0.00,114.13,114.13,114.13,0,28.34%,3,88.89%,88.89%,0.00%,0.00%,14.81%,28.53,18.58%,21.37,5.34,7.54%,22.50%,20.80%,0.00%,0
B07CZCM4VZ,General Mills,128,13,0.00,1.00,0.00,113.44,106.11,94.70,0,19.58%,7,22.35%,22.35%,0.00%,0.00%,10.16%,7.56,(9.38)%,-10.19,-0.68,(3.57)%,28.59%,29.61%,85.71%,94.50
B07CZ83NQ4,General Mills,102,11,48.00,46.00,379.37,111.17,105.38,114.13,0,47.59%,5,80.20%,80.20%,0.00%,0.00%,10.78%,11.12,24.93%,27.08,2.71,28.91%,35.24%,25.05%,0.00%,0
B0B4QY2SNX,Orion,71,29,20.00,63.00,65.34,110.97,107.62,111.19,0,33.86%,69,0.00%,0.00%,28.85%,100.00%,40.85%,3.96,0.06%,0.06,0.00,17.56%,23.43%,19.32%,0.00%,80.40
B0D2P5HXT1,Tata Soulfull,220,23,74.00,67.00,309.05,110.44,112.13,111.41,0,26.70%,204,0.00%,0.00%,93.46%,100.00%,10.45%,4.80,(9.22)%,-10.73,-0.47,13.03%,15.99%,13.91%,44.20%,70.00
B00GKX89PO,Whittaker,48,18,32.00,49.00,188.62,110.36,109.02,129.16,0,36.64%,47,31.25%,31.25%,34.26%,100.00%,37.50%,7.36,12.29%,13.83,0.92,19.89%,23.90%,19.14%,68.09%,93.50
B01L1DRF70,UNKNOWN,91,31,168.00,90.00,468.36,109.23,109.23,97.83,0,24.30%,91,65.93%,65.93%,83.89%,100.00%,34.07%,3.12,(23.14)%,-27.23,-0.78,10.67%,18.50%,16.53%,83.33%,97.00
B07P9G9RTZ,American Garden,151,11,65.00,39.00,364.02,108.78,99.71,64.62,0,12.89%,146,4.64%,4.64%,109.09%,100.00%,7.28%,5.18,(18.02)%,-18.71,-0.89,(8.11)%,27.14%,29.34%,32.06%,93.00
B081LG1LF9,Mr Makhana,48,100,165.00,127.00,177.44,107.54,104.43,104.44,0,71.48%,48,0.00%,0.00%,100.00%,100.00%,208.33%,1.08,17.75%,19.92,0.20,0.00%,76.00%,76.00%,0.00%,78.20
B00L28DEWA,American Garden,184,22,783.00,292.00,2182.90,106.96,103.65,68.95,0,24.97%,147,25.00%,25.00%,84.96%,100.00%,11.96%,3.15,(40.83)%,-46.99,-1.38,11.38%,18.50%,16.40%,77.57%,94.00
B07NCZ6BP9,Suntop,18,7,0.00,0.00,0.00,106.88,107.40,107.40,0,26.82%,18,27.78%,27.78%,0.00%,100.00%,38.89%,15.27,0.71%,0.78,0.11,18.69%,10.00%,8.13%,0.00%,86.00
B07PHYKW9T,American Garden,311,20,92.00,60.00,515.22,106.29,106.23,106.25,0,13.33%,291,0.64%,0.64%,100.00%,100.00%,6.43%,5.31,(19.73)%,-21.76,-1.09,(5.38)%,18.50%,19.50%,24.37%,94.50
B00L2ZKHOG,American Garden,185,16,79.00,27.00,405.64,101.49,101.49,90.21,0,25.78%,60,26.49%,26.49%,56.06%,56.70%,8.65%,5.64,(7.07)%,-7.54,-0.42,8.93%,18.50%,16.85%,52.63%,83.00
B00FHD9Y5W,Chings Secret,201,84,819.00,618.00,2338.80,101.08,104.35,111.65,0,(70.40)%,0,0.00%,0.00%,100.00%,71.31%,41.79%,1.30,(118.95)%,-132.80,-1.70,(100.23)%,15.69%,31.42%,75.00%,91.00
B07XC1PZCT,Suntop,73,46,70.00,30.00,196.10,100.83,102.55,94.01,0,(28.40)%,64,13.70%,13.70%,35.75%,100.00%,63.01%,1.98,(76.83)%,-85.07,-1.67,(41.70)%,10.00%,14.17%,61.40%,86.00
B08FZVMB1P,HOLSTEN,96,14,134.00,122.00,949.99,100.60,100.60,100.62,0,11.21%,93,0.00%,0.00%,67.54%,100.00%,14.58%,7.19,(48.97)%,-37.21,-2.66,1.34%,10.00%,9.87%,76.04%,80.80
B00L2ZL28G,American Garden,161,17,12.00,27.00,60.90,100.36,100.45,94.88,0,25.26%,158,15.53%,15.53%,94.74%,100.00%,10.56%,5.58,(10.98)%,-11.58,-0.64,8.98%,18.50%,16.84%,55.17%,94.20
B07M83K2H9,La Molisana,60,39,0.00,72.00,0.00,98.26,91.81,128.02,0,36.68%,60,0.00%,0.00%,11.76%,100.00%,65.00%,3.51,1.78%,1.71,0.06,24.20%,24.49%,18.56%,48.72%,83.50
B088F92WLW,Freakin' Healthy,144,89,-2.00,1.00,-2.50,98.25,87.18,118.35,0,32.66%,135,53.47%,53.47%,0.00%,0.00%,61.81%,1.44,(25.98)%,-24.13,-0.35,13.33%,35.16%,30.48%,0.00%,98.20
