ASIN,Brand Name,GV(T12M ),Net Ordered Units(T12M ),Net Receipts (Units)(T12M ),Total Inventory Units(T12M ),Net Receipts($)(T12M ),Product GMS($)(T12M ),Gross Shipped GMS($)(T12M ),Net Ordered GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),Conversion Rate(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),CPPU(T12M ),PPM(T12M )(%),CCOGS As A % Of PCOGS(T12M )(%),CCOGS As A % Of Revenue(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),IDQ Score(T12M )
B015J4UYEI,Askeys,4956,1620,1864.00,334.00,6821.34,5014.72,4951.56,4947.56,2053.34,18.41%,4876,2.34%,2.34%,88.96%,100.00%,32.69%,3.09,(38.05)%,-1922.15,-1.18,(15.49)%,31.34%,36.19%,83.51%,95.00
B098S3TW7Q,La Molisana,2794,1802,2152.00,353.00,5419.47,4972.71,4699.41,4718.81,0,26.01%,2781,0.04%,0.04%,86.06%,80.22%,64.50%,2.77,(31.70)%,-1541.07,-0.86,9.10%,24.62%,22.38%,0.00%,61.50
B00NRML2UK,Dilmah,1338,526,548.00,65.00,5146.08,4972.42,4941.51,4978.28,1510.38,29.99%,1300,3.80%,3.80%,89.27%,104.06%,39.31%,9.53,5.23%,261.98,0.50,2.61%,29.00%,28.25%,62.80%,100.00
B087GK96DX,Rico,6328,1599,1961.00,202.00,5979.55,4915.11,4748.45,4751.93,1098.92,26.73%,6000,24.17%,24.17%,68.97%,95.26%,25.27%,3.07,(54.43)%,-2675.13,-1.67,0.68%,30.82%,30.62%,0.00%,93.70
B0B82WSFTV,Mr Makhana,2522,5556,6812.00,1473.00,7325.62,4912.62,4724.63,4723.14,363.85,65.65%,2506,1.78%,1.78%,94.69%,98.45%,220.30%,0.88,(38.94)%,-1926.13,-0.35,(21.84)%,75.63%,92.15%,72.90%,78.20
B091VPBF8Q,American Garden,10388,969,1706.00,258.00,8125.71,4810.14,4628.33,4633.70,228.78,16.65%,9373,4.35%,4.35%,86.80%,83.52%,9.33%,4.96,(19.06)%,-886.28,-0.91,1.85%,19.53%,19.17%,27.82%,96.70
B0881MS1FD,Americandy,4624,1691,1914.00,448.00,5346.41,4780.51,4621.66,4625.47,1293.42,22.39%,4552,1.21%,1.21%,84.27%,100.00%,36.57%,2.83,(29.46)%,-1386.96,-0.82,1.13%,26.32%,26.02%,0.00%,87.50
B081LFRBNG,Mr Makhana,5200,5150,5466.00,811.00,5878.13,4778.21,4625.18,4717.77,310.25,65.05%,5118,0.04%,0.04%,98.23%,97.64%,99.04%,0.93,(32.20)%,-1564.58,-0.30,(15.77)%,73.73%,85.36%,66.92%,78.20
B087GKD2PV,Freakin' Healthy,1628,379,371.00,1.00,5575.52,4777.37,4654.10,4654.40,2630.78,42.05%,1552,7.52%,7.52%,87.29%,84.49%,23.28%,12.61,21.86%,1039.23,2.74,(19.22)%,53.58%,63.88%,100.00%,0
B0F793ZNSD,Barebells,1922,132,144.00,1.00,4875.46,4761.56,4673.81,4673.96,0,28.27%,1691,51.86%,51.86%,37.50%,100.00%,6.87%,36.07,17.35%,815.26,6.18,6.14%,24.50%,23.00%,100.00%,73.00
B094P139XJ,Red Band,3510,2802,3166.00,189.00,3964.98,4735.88,4702.65,4726.43,657.61,44.03%,3450,1.82%,1.82%,71.60%,79.44%,79.83%,1.69,(16.08)%,-791.60,-0.28,26.04%,29.29%,21.67%,49.67%,78.70
B07NF8B82T,Alitea,3603,1050,1518.00,134.00,9329.36,4666.33,4554.72,4610.73,3103.07,29.71%,3153,13.93%,13.93%,67.38%,90.87%,29.14%,4.51,(2.71)%,-123.07,-0.12,(36.07)%,50.57%,68.82%,68.87%,87.50
B00JSCMGJ4,Gerber,1569,684,784.00,27.00,4749.18,4636.24,4585.32,4587.06,264.67,33.36%,1548,6.50%,6.50%,87.63%,76.23%,43.59%,6.78,(3.02)%,-142.00,-0.21,10.76%,27.23%,24.30%,100.00%,52.50
B00PCCR1FI,India Gate,6152,1210,5570.00,13.00,16707.79,4622.12,4540.21,4432.59,0,13.50%,5023,23.31%,23.31%,90.46%,52.50%,19.67%,3.73,(39.72)%,-1827.98,-1.47,11.77%,4.20%,3.71%,49.16%,68.70
B00L2ZL4V6,American Garden,2618,1096,1264.00,0.00,4854.15,4513.66,4419.56,4450.47,4.00,22.90%,2181,10.39%,10.39%,80.87%,55.52%,41.86%,4.14,(17.16)%,-779.44,-0.72,8.74%,18.35%,16.74%,45.06%,0
B016BO719G,Whittaker,2332,767,2018.00,738.00,11894.65,4484.47,4222.05,4201.92,2195.67,32.07%,2207,5.87%,5.87%,86.78%,100.00%,32.89%,5.82,(10.88)%,-466.87,-0.61,(1.34)%,38.39%,38.90%,75.03%,86.00
B093YXPPWS,Nabati,4541,1141,1346.00,171.00,5130.34,4373.24,4314.29,4317.50,1412.31,31.64%,4066,1.74%,1.74%,94.19%,100.00%,25.13%,3.83,(13.94)%,-612.68,-0.54,0.56%,33.76%,33.57%,0.00%,85.00
B00DIREC0Q,La Molisana,1817,1643,2171.00,553.00,5910.61,4337.93,4128.62,4154.65,1433.03,28.43%,1810,1.32%,1.32%,87.89%,100.00%,90.42%,2.65,(18.69)%,-792.81,-0.48,(2.61)%,34.91%,35.83%,0.00%,81.00
B084VPP1M5,Suntop,1495,853,885.00,94.00,4647.81,4309.40,4230.45,4217.65,0,9.18%,1375,19.02%,19.02%,92.05%,100.00%,57.06%,5.03,(31.25)%,-1321.74,-1.54,(4.32)%,14.79%,15.43%,59.80%,90.80
B0881M44V2,Cici,2059,569,646.00,118.00,4607.94,4290.65,4117.13,4103.38,1381.56,25.54%,1921,2.90%,2.90%,59.80%,100.00%,27.63%,7.50,(0.19)%,-8.17,-0.01,4.91%,26.10%,24.82%,69.36%,98.20
B002GK0570,Gerber,1399,819,1115.00,53.00,6432.48,4241.65,4181.15,4185.24,150.49,16.70%,1352,8.22%,8.22%,100.00%,67.35%,58.54%,5.18,(20.42)%,-858.56,-1.05,(11.39)%,27.17%,30.27%,54.58%,91.20
B003XXD1O8,Gerber,1884,825,1101.00,97.00,6669.45,4175.80,4148.11,4149.90,37.28,9.35%,1809,4.76%,4.76%,98.95%,64.74%,43.79%,5.06,(33.79)%,-1428.22,-1.73,(19.68)%,25.19%,30.15%,64.47%,0
B007TQG23C,Fruit Roll-Ups,3240,673,821.00,41.00,3473.02,4080.72,4035.19,4038.35,212.03,45.79%,3117,15.59%,15.59%,68.23%,62.09%,20.77%,6.06,1.13%,46.47,0.07,29.08%,26.18%,18.56%,100.00%,93.30
B000LRO5O4,Splenda,1568,165,169.00,0.00,3680.86,4062.76,4018.84,4167.96,211.45,19.92%,1208,81.24%,81.24%,14.09%,93.79%,10.52%,25.39,0.09%,3.76,0.02,14.22%,7.95%,6.82%,0.00%,0
B087GLG43J,Stone Chocolate,5286,533,479.00,7.00,3505.40,3929.62,3863.69,3917.87,567.54,28.88%,4941,5.58%,5.58%,75.26%,100.00%,10.08%,7.47,(14.23)%,-538.07,-1.02,2.04%,30.29%,29.67%,0.00%,80.90
B00A20QDD6,UNKNOWN,5402,1562,1830.00,0.00,3985.78,3927.26,3840.17,3875.13,398.13,77.66%,5197,2.04%,2.04%,74.54%,62.90%,28.92%,2.56,10.19%,398.58,0.26,14.93%,77.85%,66.23%,0.00%,0
B004ZK343G,ROCA,1456,709,860.00,99.00,4682.75,3913.74,3886.90,3890.95,1157.89,82.50%,1437,3.92%,3.92%,99.81%,100.00%,48.70%,5.52,55.61%,2167.66,3.06,1.36%,83.75%,82.62%,0.00%,70.50
B09RWVXZ66,Lago,2119,1245,1872.00,361.00,7135.21,3912.26,3763.92,3765.59,729.65,14.50%,2035,5.10%,5.10%,79.55%,100.00%,58.75%,3.13,(39.05)%,-1523.10,-1.22,(21.78)%,33.07%,40.27%,57.38%,76.70
B00CAUAAWG,Gerber,1435,765,980.00,53.00,5653.66,3875.95,3825.87,3699.45,198.02,11.34%,1376,6.06%,6.06%,97.85%,49.06%,53.31%,4.88,(24.17)%,-944.31,-1.19,(18.18)%,26.37%,31.17%,66.12%,93.20
B07CZ83NQ4,General Mills,1715,450,648.00,46.00,5121.47,3858.58,3726.73,3683.04,548.33,27.68%,1417,9.68%,9.68%,104.99%,25.20%,26.24%,8.46,3.73%,138.64,0.30,6.60%,26.76%,24.99%,48.21%,0
B07B8BYKFY,Canel's,3503,1160,1385.00,366.00,4223.19,3841.09,3680.18,3656.86,325.02,25.95%,3383,9.19%,9.19%,87.52%,100.00%,33.11%,3.29,(26.90)%,-1014.37,-0.87,7.36%,25.86%,23.96%,0.00%,85.70
B07P76G5DQ,American Classic,6787,1450,1487.00,3.00,3619.26,3834.41,3713.91,3713.77,43.46,21.00%,6677,0.34%,0.34%,101.85%,93.05%,21.36%,2.64,(31.91)%,-1227.54,-0.85,7.35%,18.45%,17.09%,23.55%,90.00
B0D2P6KRB1,Tata Soulfull,6788,1052,2911.00,636.00,12157.39,3810.44,3711.31,3722.95,362.65,11.85%,6274,12.26%,12.26%,94.13%,99.53%,15.50%,3.63,(38.75)%,-1478.22,-1.41,(15.08)%,25.77%,29.65%,56.70%,67.50
B07GJCL75D,Alicafe,1581,627,0.00,0.00,0.00,3795.23,3782.54,3755.49,1413.13,8.65%,1134,2.40%,2.40%,0.00%,0.00%,39.66%,6.01,(17.89)%,-674.22,-1.07,(11.25)%,19.35%,21.53%,100.00%,0
B087GKF4GF,Freakin' Healthy,1192,294,367.00,1.00,5515.41,3775.81,3687.05,3687.32,2413.80,40.71%,1106,3.54%,3.54%,95.01%,69.27%,24.66%,12.84,20.89%,782.78,2.66,(17.02)%,51.36%,60.10%,0.00%,0
B083VKDQ3P,TATA,4462,1225,3040.00,607.00,9137.25,3663.43,3627.33,3629.45,9.71,13.08%,4071,13.27%,13.27%,88.89%,97.17%,27.45%,2.99,(42.32)%,-1519.31,-1.24,(0.51)%,14.74%,14.81%,48.12%,100.00
B07PKQH3R5,Loyal,6542,729,778.00,73.00,2933.58,3608.79,3593.53,3605.93,423.88,36.23%,6202,3.98%,3.98%,67.42%,100.00%,11.14%,4.96,(9.45)%,-342.36,-0.47,24.27%,17.92%,13.57%,36.39%,82.50
B005FBKVZ8,Dilmah,2184,700,797.00,82.00,3776.10,3607.55,3566.71,3607.51,567.53,32.54%,2110,17.92%,17.92%,94.11%,100.00%,32.05%,5.21,(7.06)%,-256.94,-0.37,10.51%,26.84%,24.02%,58.93%,82.50
B07MXFKJVH,La Molisana,2350,1429,1612.00,253.00,4292.17,3595.38,3377.01,3430.40,998.41,27.23%,2331,0.00%,0.00%,83.65%,99.35%,60.81%,2.55,(25.51)%,-882.26,-0.63,(4.42)%,36.16%,37.76%,0.00%,92.00
B08H6P5677,Mr Makhana,941,1385,1485.00,235.00,3618.45,3572.28,3443.50,3449.08,236.62,70.85%,920,5.63%,5.63%,97.22%,100.00%,147.18%,2.58,24.94%,883.57,0.64,5.67%,73.31%,69.16%,60.95%,78.20
B088F92WLW,Freakin' Healthy,2312,3374,3162.00,1.00,3959.97,3511.92,3291.76,3324.11,1511.94,36.22%,2227,6.31%,6.31%,99.97%,63.79%,145.93%,1.05,(50.94)%,-1754.73,-0.52,(19.57)%,52.15%,62.36%,0.00%,98.20
B07NF6J8HC,Suntop,1798,1969,5452.00,695.00,9544.20,3494.94,3480.57,3510.17,0,18.67%,1626,8.49%,8.49%,85.60%,100.00%,109.51%,1.77,(75.91)%,-2397.17,-1.22,1.37%,20.93%,20.65%,50.51%,0
B087GMJZVC,Maohuat,3593,866,596.00,2.00,2180.81,3484.70,3359.23,3362.90,0,25.80%,3459,0.00%,0.00%,100.00%,100.00%,24.10%,4.02,(17.25)%,-584.23,-0.67,9.07%,23.86%,21.70%,0.00%,0
B07KZQX8DM,Alitea,2719,323,160.00,0.00,1530.72,3468.36,3471.18,3455.25,0,19.12%,1175,44.85%,44.85%,34.78%,23.96%,11.88%,10.70,(1.27)%,-42.90,-0.13,10.63%,10.02%,8.95%,52.22%,0
B07FD6XPLF,Wella Koleston,5575,1206,1359.00,44.00,7237.04,3457.60,3424.06,3448.37,740.98,22.14%,4496,3.34%,3.34%,98.41%,91.55%,21.63%,2.89,(25.38)%,-870.78,-0.73,(84.11)%,58.91%,108.45%,59.67%,100.00
B0DT61H872,TATA GLOBAL BEVeRAGES,5643,736,1693.00,503.00,7443.93,3454.12,3418.89,3423.29,77.95,30.06%,5333,6.40%,6.40%,96.59%,98.98%,13.04%,4.69,(10.21)%,-356.82,-0.48,6.31%,26.72%,25.03%,0.00%,63.50
B0014CXH1C,Gerber,2096,377,501.00,34.00,5491.41,3431.75,3460.76,3463.71,401.87,12.69%,1786,16.55%,16.55%,92.40%,51.76%,17.99%,9.10,(21.11)%,-745.44,-1.98,(20.41)%,27.92%,33.61%,92.46%,94.50
B01IUM3B0A,La Molisana,2232,1301,1127.00,1.00,3089.77,3386.48,3200.99,3338.04,1106.04,27.53%,2184,16.32%,16.32%,55.19%,75.33%,58.29%,2.70,(40.35)%,-1209.41,-0.97,(1.36)%,33.97%,34.43%,0.00%,88.00
B087GL45MC,Orion,3639,626,850.00,75.00,5322.55,3368.36,3236.08,3236.48,1292.63,19.84%,3550,0.52%,0.52%,89.60%,100.00%,17.20%,5.38,(12.63)%,-417.26,-0.67,(16.37)%,34.65%,40.32%,95.70%,62.50
B087GK9B18,Freakin' Healthy,655,210,211.00,31.00,3329.53,3342.72,3327.11,3291.07,1479.52,32.66%,653,0.00%,0.00%,100.00%,72.54%,32.06%,15.77,16.32%,549.67,2.59,(0.08)%,33.11%,33.14%,0.00%,98.50
B087GJ963P,Darrys,3030,939,12.00,3.00,40.02,3339.41,3215.21,3212.54,568.87,26.41%,2963,0.00%,0.00%,0.00%,100.00%,30.99%,3.56,(27.54)%,-901.53,-0.96,6.22%,26.64%,24.98%,0.00%,0
B0CD87Z6VY,Rhythm 108,831,722,943.00,94.00,4282.33,3282.10,3141.17,3188.22,668.50,27.71%,790,12.52%,12.52%,76.53%,99.03%,86.88%,4.56,(17.32)%,-558.55,-0.78,0.52%,31.68%,31.51%,0.00%,85.80
B07NF7KSJB,Suntop,3975,1891,15225.00,3431.00,26652.68,3210.17,3132.55,3245.05,0,16.13%,2953,11.41%,11.41%,92.54%,100.00%,47.57%,1.70,(90.46)%,-2762.03,-1.47,(2.68)%,22.02%,22.61%,39.02%,82.00
B07PBKVNXH,Tippys,1926,1919,1901.00,0.00,1552.66,3172.96,3165.36,3178.84,112.79,58.64%,1892,4.05%,4.05%,50.33%,75.04%,99.64%,1.66,(106.30)%,-3859.30,-2.02,50.19%,20.91%,10.41%,98.76%,60.00
B002R1IWBO,The Jelly Bean Factory,1226,711,632.00,17.00,2599.89,3168.90,3077.78,3113.97,333.81,29.44%,1198,10.82%,10.82%,53.07%,96.70%,57.99%,4.51,(14.22)%,-441.08,-0.63,8.74%,27.12%,24.75%,61.82%,75.00
B0CHF7Q4M2,Costa dÓro,1498,256,240.00,55.00,2776.98,3121.04,2983.78,3001.19,591.96,28.81%,1437,24.13%,24.13%,29.73%,92.50%,17.09%,12.24,3.17%,95.13,0.37,5.46%,29.19%,27.60%,0.00%,81.70
B087GM5T2G,Elvan,2504,566,715.00,143.00,3924.36,3116.61,3034.68,3032.75,867.14,29.48%,2318,6.23%,6.23%,74.55%,97.39%,22.60%,5.50,(6.86)%,-210.65,-0.37,0.15%,33.00%,32.95%,59.41%,85.70
B07NF69CGR,Bundaberg,1066,1129,1295.00,108.00,4054.53,3112.76,3087.08,3078.81,0,0.08%,781,9.38%,9.38%,76.73%,100.00%,105.91%,2.75,(44.71)%,-1396.15,-1.23,(13.96)%,13.48%,15.36%,67.36%,0.00
B00FHD9Y5W,Chings Secret,5245,1087,3760.00,618.00,10404.38,3028.03,2858.00,2854.92,0,10.75%,3592,10.08%,10.08%,96.48%,88.08%,20.72%,2.79,(47.64)%,-1413.26,-1.30,3.00%,13.57%,13.16%,56.14%,91.00
B00MWVY52O,TILDA,1303,311,410.00,58.00,3262.76,3011.54,2974.07,2974.60,264.22,31.49%,1173,6.45%,6.45%,91.67%,80.66%,23.87%,9.68,12.50%,376.84,1.21,17.82%,19.12%,15.71%,51.08%,85.70
B091VQBBGW,American Garden,6009,606,1460.00,267.00,6916.45,2925.60,2838.29,2842.32,289.78,16.91%,5256,8.56%,8.56%,89.84%,88.07%,10.08%,4.83,(22.13)%,-643.23,-1.06,(0.57)%,20.49%,20.61%,45.55%,96.70
B00R2UOFWU,Dilmah,1378,300,281.00,1.00,2199.46,2912.54,2835.47,2838.76,8.87,34.80%,1319,11.97%,11.97%,68.22%,88.34%,21.77%,9.71,15.74%,447.75,1.49,19.38%,22.55%,18.18%,64.71%,0
B087GJT9V6,Tian's,5138,1828,1253.00,30.00,1910.34,2901.02,2801.91,2822.12,369.05,27.12%,5025,9.15%,9.15%,53.96%,100.00%,35.58%,1.60,(62.20)%,-1701.32,-0.94,4.51%,28.24%,26.96%,0.00%,93.70
B0DXBRHMXT,Vitamin Well,2124,202,483.00,1.00,6982.55,2895.12,2883.81,3156.38,0,25.69%,1887,53.30%,53.30%,52.56%,96.26%,9.51%,15.40,(3.49)%,-102.61,-0.55,6.12%,21.74%,20.41%,75.72%,51.00
B07NF8TFJW,Namakin,1140,934,1155.00,7.00,3144.52,2871.47,2806.31,2842.04,282.97,36.35%,1111,13.16%,13.16%,56.91%,96.00%,81.93%,3.10,(16.34)%,-459.99,-0.50,12.30%,30.62%,26.86%,82.19%,78.00
B0B82XMNC5,Mr Makhana,2022,2525,2542.00,464.00,2733.67,2776.21,2668.00,2668.37,220.96,67.29%,1959,0.44%,0.44%,99.58%,100.00%,124.88%,1.10,(7.22)%,-200.67,-0.08,2.19%,71.26%,69.70%,70.58%,68.20
B07PBKWD24,Oronamin,3136,2051,2967.00,474.00,5380.90,2770.15,2751.01,2737.33,0,(12.43)%,2452,42.21%,42.21%,46.39%,69.50%,65.40%,1.34,(64.04)%,-1810.06,-0.88,(23.36)%,9.88%,12.19%,46.57%,0.00
B087GLRBJB,Caca,4176,814,817.00,88.00,2491.22,2745.18,2670.46,2679.34,234.74,29.78%,4016,6.66%,6.66%,89.47%,100.00%,19.49%,3.38,(29.60)%,-759.98,-0.94,9.81%,27.55%,24.84%,0.00%,80.00
B081LFPWRP,Mr Makhana,2438,2775,2969.00,677.00,3192.86,2706.26,2585.30,2590.42,159.73,63.35%,2380,0.00%,0.00%,100.87%,100.00%,113.82%,0.98,(28.93)%,-790.78,-0.28,(10.27)%,71.45%,78.79%,56.65%,78.20
B09BN5R4MX,Palazi,6225,677,1091.00,142.00,4306.91,2671.24,2612.06,2610.22,182.00,24.80%,5957,8.13%,8.13%,75.85%,100.00%,10.88%,3.94,(45.84)%,-1259.22,-1.86,(0.20)%,27.98%,28.04%,91.87%,82.50
B0CHFBWR8F,Costa dÓro,1537,213,90.00,0.00,1010.74,2624.17,2531.17,2478.76,363.90,30.89%,1402,30.74%,30.74%,12.80%,66.98%,13.86%,11.98,5.98%,151.98,0.69,6.28%,29.80%,27.93%,0.00%,81.70
B087GJMN7S,Jewel Ring,2110,449,307.00,0.00,1685.01,2595.26,2507.95,2508.80,436.65,27.78%,1941,5.46%,5.46%,50.33%,100.00%,21.28%,5.78,(6.25)%,-157.66,-0.35,5.04%,28.28%,26.85%,0.00%,0
B087GJVRX3,Maikom,1217,320,411.00,39.00,3580.67,2584.72,2502.86,2540.14,330.71,21.25%,1142,12.41%,12.41%,81.53%,100.00%,26.29%,8.18,(23.38)%,-597.41,-1.89,(6.51)%,29.29%,31.20%,97.37%,81.00
B08C1BXXXV,O'lite,1188,510,754.00,0.00,3725.81,2544.74,2459.59,2551.80,41.22,8.98%,1008,18.60%,18.60%,47.75%,93.90%,42.93%,5.16,(33.03)%,-835.53,-1.69,4.27%,8.31%,7.96%,86.63%,91.70
B07DXVR84H,La Molisana,1190,815,869.00,100.00,2484.17,2539.10,2409.07,2409.83,640.35,33.58%,1167,2.86%,2.86%,56.68%,95.97%,68.49%,3.12,(8.73)%,-214.41,-0.26,8.24%,33.26%,30.52%,72.50%,78.50
B000Z4MHNE,French's,1389,824,759.00,0.00,2005.18,2529.79,2448.42,2443.99,32.13,15.02%,1343,6.54%,6.54%,97.16%,84.09%,59.32%,3.07,(41.08)%,-1057.60,-1.28,14.17%,5.26%,4.52%,100.00%,98.50
B07P6B9D5H,La Molisana,1601,971,829.00,1.00,2205.07,2528.27,2391.13,2445.92,739.15,27.01%,1571,11.00%,11.00%,51.03%,74.94%,60.65%,2.66,(24.99)%,-616.83,-0.65,(0.16)%,32.58%,32.63%,0.00%,92.00
B00Q6I22DI,American Garden,5147,814,1304.00,192.00,3908.75,2524.46,2436.23,2441.54,255.24,20.06%,4910,2.96%,2.96%,92.83%,100.00%,15.82%,3.11,(40.13)%,-998.06,-1.23,3.47%,21.47%,20.73%,26.35%,93.70
B087GK969D,Freakin Healthy,1141,671,990.00,1.00,4032.18,2513.81,2407.27,2409.55,1165.53,26.40%,1061,8.50%,8.50%,99.79%,42.68%,58.81%,3.75,(16.29)%,-401.71,-0.60,(9.71)%,36.69%,40.25%,71.51%,98.50
B07P75SCX3,UNKNOWN,2207,366,1309.00,239.00,8631.50,2512.96,2431.42,2443.67,0,11.51%,1610,10.49%,10.49%,84.52%,100.00%,16.58%,6.90,(22.18)%,-543.16,-1.49,4.49%,10.00%,9.55%,41.58%,87.50
B004PELWAY,Gerber,681,517,578.00,1.00,3334.51,2509.12,2477.88,2476.83,65.70,9.81%,645,6.90%,6.90%,95.74%,58.51%,75.92%,4.84,(29.92)%,-758.70,-1.46,(18.87)%,25.70%,30.55%,66.09%,0
B087GJJ4KR,Freakin' Healthy,844,184,276.00,1.00,4147.83,2479.23,2397.31,2411.02,1100.07,39.86%,817,3.55%,3.55%,97.53%,51.93%,21.80%,13.55,21.61%,526.50,2.88,(10.93)%,48.66%,53.98%,0.00%,0
B07HNSPY84,Dilmah,1052,410,455.00,52.00,2933.83,2467.74,2464.19,2503.21,787.80,29.49%,1012,10.51%,10.51%,55.85%,97.93%,38.97%,6.11,(0.89)%,-22.14,-0.05,(4.68)%,33.26%,34.82%,0.00%,81.00
B00Y09JC24,Ching's,4894,1242,4040.00,432.00,7092.49,2431.37,2329.98,2344.69,0,18.48%,4077,12.01%,12.01%,90.00%,91.79%,25.38%,1.96,(88.83)%,-2224.28,-1.80,10.48%,14.45%,12.94%,35.87%,86.70
B016BO717S,Whittaker,1586,466,395.00,1.00,2328.24,2416.96,2218.74,2269.01,710.60,21.24%,1458,21.31%,21.31%,24.61%,100.00%,29.38%,5.28,(14.79)%,-334.18,-0.73,(11.69)%,36.10%,40.32%,62.60%,98.50
B07NF7RVX6,L.B. Maple,956,254,329.00,26.00,2961.23,2416.04,2336.32,2355.15,319.22,31.05%,925,6.17%,6.17%,89.74%,96.96%,26.57%,9.55,2.61%,61.53,0.24,5.75%,30.33%,28.58%,0.00%,68.50
B087GL3GHB,Nom Noms,1848,884,769.00,37.00,1875.89,2404.38,2299.39,2371.15,482.94,34.36%,1777,6.95%,6.95%,49.78%,100.00%,47.84%,2.75,(25.89)%,-610.06,-0.70,11.53%,31.70%,28.04%,59.65%,94.20
B07J3Y1ZTZ,Dilmah,1753,872,835.00,0.00,1818.65,2403.89,2378.23,2447.57,0,39.60%,1681,33.30%,33.30%,54.17%,72.62%,49.74%,2.85,(17.30)%,-420.41,-0.50,23.62%,23.60%,18.03%,79.73%,76.00
B08H8VT4JB,Mr Makhana,975,989,854.00,61.00,2080.91,2380.80,2262.16,2261.91,0,64.26%,945,2.46%,2.46%,92.74%,100.00%,101.44%,2.41,10.95%,251.98,0.25,(1.22)%,69.81%,70.67%,0.00%,83.20
B0041HVNZ4,Popcorners,997,511,546.00,87.00,2518.67,2377.14,2291.25,2296.20,571.03,38.32%,827,19.37%,19.37%,52.50%,50.84%,51.25%,4.66,4.15%,97.24,0.19,0.43%,42.06%,41.88%,69.86%,70.80
B000PDHHDA,Gerber,2228,486,602.00,45.00,3264.81,2367.84,2326.56,2318.66,185.33,16.51%,2190,3.71%,3.71%,89.92%,71.67%,21.81%,4.86,(28.46)%,-685.06,-1.41,(11.54)%,27.18%,30.32%,72.69%,0
B00ECGW40C,MARTINELLI'S,499,847,931.00,23.00,2362.32,2353.21,2366.07,2326.78,162.16,33.60%,481,19.44%,19.44%,87.97%,70.93%,169.74%,2.74,(20.11)%,-442.21,-0.52,7.48%,28.39%,26.26%,63.50%,86.00
B015NC6YO0,The Jelly Bean Factory,527,100,92.00,0.00,1998.77,2332.00,2213.62,2254.10,0,27.71%,510,17.27%,17.27%,50.00%,96.89%,18.98%,23.80,10.02%,223.40,2.28,8.70%,26.20%,23.92%,0.00%,85.70
B000WGBLOQ,Gerber,1363,395,446.00,3.00,2572.99,2303.72,2262.01,2262.93,38.60,24.76%,1317,14.67%,14.67%,85.85%,51.21%,28.98%,5.83,(6.82)%,-156.79,-0.40,1.08%,26.29%,26.00%,68.40%,0
B091VQS1Q5,American Garden,2678,286,300.00,54.00,2282.51,2295.16,2215.72,2216.07,325.29,18.70%,2603,13.32%,13.32%,87.88%,89.19%,10.68%,8.03,(9.08)%,-201.49,-0.70,4.15%,18.48%,17.71%,28.76%,100.00
B00LXSEFMW,La Molisana,1757,819,964.00,1.00,2755.74,2274.71,2134.38,2141.84,613.62,27.46%,1720,1.70%,1.70%,56.55%,83.49%,46.61%,2.78,(26.06)%,-570.98,-0.70,(2.92)%,35.45%,36.49%,0.00%,91.00
B0861M1XS5,Suntop,605,148,152.00,12.00,1887.04,2273.67,2273.14,2273.31,233.45,29.72%,588,2.31%,2.31%,73.04%,100.00%,24.46%,15.36,4.76%,109.26,0.74,19.19%,13.18%,10.65%,40.31%,83.00
B07MTXFYB3,Crunchos,535,397,420.00,66.00,2641.40,2267.80,2163.45,2163.80,608.81,14.17%,496,14.39%,14.39%,93.42%,93.83%,74.21%,5.71,(16.00)%,-354.95,-0.89,(10.10)%,25.84%,28.44%,64.09%,73.40
B088FH4VG8,UNKNOWN,1107,470,516.00,49.00,2126.91,2266.49,2207.56,2209.03,54.27,23.89%,1001,21.23%,21.23%,87.04%,98.18%,42.46%,4.83,(21.62)%,-486.56,-1.04,14.71%,14.15%,12.07%,55.42%,59.90
B07NF9H25V,Palazi,6928,373,493.00,75.00,2705.89,2259.71,2213.52,2221.91,584.70,37.24%,6527,1.43%,1.43%,74.33%,100.00%,5.38%,6.07,1.56%,35.18,0.09,9.64%,33.50%,30.27%,54.07%,62.50
B01L1DQPMG,American Garden,7419,556,744.00,18.00,2768.94,2251.17,2239.37,2232.10,20.95,22.28%,6852,14.16%,14.16%,86.09%,46.72%,7.49%,4.03,(27.59)%,-644.23,-1.15,7.75%,17.80%,16.42%,48.10%,92.50
B00IERMK9U,KLF COCONAD,6893,416,216.00,0.00,1187.89,2219.09,2126.14,2200.43,0,22.56%,5457,25.69%,25.69%,18.18%,100.00%,6.04%,5.48,(19.72)%,-411.35,-1.02,(0.37)%,27.00%,27.10%,54.70%,0
B0C5VVBJ33,Alicafe,2208,227,168.00,0.00,1511.20,2178.17,2166.41,2171.74,0,14.78%,709,9.18%,9.18%,39.39%,100.00%,10.28%,9.60,(13.51)%,-288.29,-1.27,6.26%,10.00%,9.37%,83.13%,0
